Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
47.5650635,9.6741405,92,820
50.9997078,6.7938679,92,82
51.4586736,12.6344389,92,328
47.4118318,10.2781005,92,164
47.8646925,11.479351,92,164
47.8134583,10.8967857,92,82
54.4853638,9.0538156,92,164
,,92,164
51.800118,10.537097,92.1,164000
48.8170156,13.2167342,92.1,164000
50.5197936,6.9952544,92.1,492
50.3352682,8.7539306,92.1,524.8
,,92.1,492
49.4389622,6.61634204011046,92.1,164
48.0184072,7.820308,92.1,328
,,92.1,52480
53.5218143,8.64920230605346,92.1,41000
54.3096314,13.0820846,92.1,656
51.9503235,14.7153567,92.1,1640
50.3978436,8.0386225,92.1,328
50.6170504,10.685774,92.1,164
47.5538309,10.0206483,92.1,82
54.8233691,9.4241777,92.1,262.4
,,92.1,328
48.7557588,9.1901672,92.2,164000
51.0382067,13.8314672,92.2,164000
,,92.2,131.2
51.9944958,8.9326027,92.2,524.8
51.1847707,7.2119644,92.2,164
,,92.2,164
48.35941895,10.8858310920168,92.2,328
50.3283477,11.1226908,92.2,82
,,92.2,328
50.1483669,9.6509683,92.2,16.4
47.9892386,10.2354093353151,92.2,82
47.5858442,11.102169,92.2,164
50.4899196,11.3498651,92.2,82
54.1948456,9.0929015,92.2,164
,,92.2,16.4
49.1052677,6.4793632,92.3,524.8
,,92.3,24600
50.5203183,6.8328257,92.3,8200
49.8323968,9.5927263,92.3,41000
53.5092894,10.0939323,92.3,8200
51.1525648,11.8099186,92.3,1640
49.74207845,6.69099345973367,92.3,82
53.0762716,11.8627933,92.3,1640
53.9394279,14.1881469,92.3,1640
47.5528548,7.6737981,92.3,82
47.5813782,10.5579673,92.3,82
,,92.3,1640
,,92.3,82
,,92.3,820
,,92.3,1640
,,92.4,82000
52.5064317,13.2285653,92.4,131200
49.844711,7.85472807364812,92.4,82
,,92.4,13120
47.9358425,8.8267371,92.4,65600
49.3297989,8.57629996321377,92.4,820
,,92.4,328
,,92.4,524.8
,,92.4,524.8
,,92.4,524.8
,,92.4,524.8
,,92.4,524.8
,,92.4,82
50.5590505,11.8040013,92.4,328
,,92.4,328
49.7410617,9.383644,92.4,16.4
51.4586736,12.6344389,92.4,328
50.61839705,12.2705939328038,92.4,328
54.1149634,12.1481031,92.4,164
47.4429543,11.2655684,92.4,16.4
54.51851,9.5653284,92.4,1640
50.8511626,10.4665051,92.5,164000
50.0673092,8.2320076,92.5,164
51.39490575,7.72333245488473,92.5,1640
49.4596462,7.7707037,92.5,410
,,92.5,13120
51.7559549,11.462134,92.5,1640
53.0898943,7.3869777,92.5,820
53.9070019,13.0327836,92.5,1640
53.1034842,8.7865535,92.5,328
48.7806048,8.5651071,92.5,16.4
49.4701503,10.0325388,92.5,16.4
47.6410174,11.7442455,92.5,164
54.18004525,7.8853621011807,92.5,82
48.3862619,9.9625658,92.6,16400
47.4489135,7.51876,92.6,13776
49.4389622,6.61634204011046,92.6,820
51.8444362,7.8273931,92.6,1640
51.8346801,12.2468705,92.6,3280
,,92.6,164
51.1674417,6.9307271,92.6,820
52.3212183,9.7454815,92.6,4100
50.0425964,7.1391456,92.6,16.4
49.6660102,10.0650833,92.6,82
47.6737001,12.0148837,92.6,164
,,92.6,82
48.5430079,11.4322533,92.6,820
,,92.6,82
48.8964134,8.4387379,92.7,82000
48.441813,8.6889737,92.7,1640
,,92.7,820
,,92.7,8200
53.4695604,7.4823808,92.7,2624
54.8721377,8.4337685,92.7,8200
51.8271933,9.4387596,92.7,820
,,92.7,164
49.2406651,12.9207737,92.7,656
,,92.7,328
48.1985976,12.2874971,92.7,492
52.24559115,8.87847510719655,92.7,164
49.9657002,11.6448227,92.7,164
53.3167,13.866575,92.7,820
53.9250316,9.5155854,92.7,820
,,92.7,164
51.4048708,7.4386269,92.7,820
51.8508333,10.3833333,92.7,164
50.6504841,7.9523942,92.8,41000
50.8194269,12.9140384,92.8,164000
,,92.8,41000
52.5417141,7.351461,92.8,24600
53.6288297,11.4148038,92.8,52480
47.6026258,8.4072782,92.8,4264
50.2534129,10.9853872,92.8,492
51.2816524,8.8982774,92.8,164
,,92.8,164
47.4126177,10.2896726,92.8,16.4
53.5218143,8.64920230605346,92.8,82
,,92.8,1640
52.767482,9.59293220489456,92.8,1640
48.8015045,8.6355573,92.9,8200
,,92.9,164
49.7339751,10.161216,92.9,1640
,,92.9,1640
,,92.9,1640
,,92.9,524.8
,,92.9,524.8
,,92.9,524.8
,,92.9,524.8
,,92.9,820
53.0495213,8.4497212,92.9,1640
,,92.9,164
54.3046701,9.6645115,92.9,820
,,92.9,82
,,92.9,656
50.6209309,8.9047456,92.9,328
50.9068693,11.4465339,92.9,16.4
51.9863077,9.8247473,92.9,82
,,92.9,82
49.8311572,7.0854579,93,82000
52.2176245,10.7817749282226,93,65600
49.0407283,12.1771417,93,41000
,,93,820
52.0761541,7.004876,93,820
51.4333103,14.250083,93,1640
,,93,164
,,93,82
53.563139,9.97581251577813,93,328
51.5581272,13.0046538,93,328
48.0711431,11.8878323,93,1033.2
47.55911,10.2137986,93,164
50.6867695,10.9142385,93,164
,,93,328
49.8914619,8.6135779,93,328
47.5813782,10.5579673,93,32.8
48.8556024,13.7345252,93,16.4
54.3096314,13.0820846,93,213.2
50.7016885,7.0993079,93.1,82000
,,93.1,164000
,,93.1,16400
52.5064317,13.2285653,93.1,41000
50.0730168,8.25505589675038,93.1,164
,,93.1,16400
48.1748367,8.5736636,93.1,1640
,,93.1,328
,,93.1,164
49.1503044,9.2865471,93.1,246
51.1525648,11.8099186,93.1,820
,,93.1,820
47.6766357,12.4703473,93.1,164
48.2030339,13.0991177,93.1,164
47.5858442,11.102169,93.1,164
50.4899196,11.3498651,93.1,82
51.9063058,8.81941575523258,93.2,164000
,,93.2,16400
49.48336525,8.49624198105207,93.2,1640
54.7919856,9.4769237,93.2,41000
51.7930788,11.7391606,93.2,1640
,,93.2,524.8
51.0382067,13.8314672,93.2,1640
48.6047533,8.6601529,93.2,164
,,93.2,820
