,Area Served,Callsign,Frequency(MHz),Purpose,Polarisation,Antenna Height (m),Antenna Pattern,Maximum ERP (W),Technical Specification Number,Licence Number,Site id,Site Name,Zone,Easting,Northing,Latitude,Longitude,State,BSL,Licence Area,Licence Area ID,Status,Deg,Min,Sec,Deg1,Min1,Sec1,Latitude in degrees,Longitude in degrees
106,Armadale,6HFM,107.3,Community,V,26,DA,200.0,10010711,10125348,10002544,Radio 6HFM Mast Cmty Radio Site off Mills Road East MARTIN,0,0,0,32 5 33S,116 2 5E,WA,1150745.0,ARMADALE RA1,,Issued,32,5,33,116,2,5,32.0925,116.03472222222221
107,Armidale,2ARM,92.1,Community,M,20,OD,2000.0,3040001,1171717,280229,Broadcast Site Translator Road KELLYS PLAIN,0,0,0,30 32 39S,151 39 6E,NSW,3040.0,ARMIDALE RA2,,Issued,30,32,39,151,39,6,30.54416666666667,151.65166666666667
108,Armidale,2NEB,100.3,Commercial,M,30,OD,10000.0,10004773,1152598,6684,Prime Tower Little Duval Mtn  Exmouth Rd DUMARESQ,0,0,0,30 22 34S,151 36 5E,NSW,10316.0,ARMIDALE RA1,,Issued,30,22,34,151,36,5,30.37611111111111,151.6013888888889
109,Armidale,2JJJ,101.1,National,M,60,OD,10000.0,10007939,1153032,6645,Telstra Tower (Old Co-ords) Little Duval Mtn  Exmouth Rd DUMARESQ,0,0,0,30 22 38S,151 36 7E,NSW,,,,Issued,30,22,38,151,36,7,30.377222222222223,151.60194444444443
110,Armidale,2NWR,101.9,National,M,60,OD,10000.0,10005059,1198628,6645,Telstra Tower (Old Co-ords) Little Duval Mtn  Exmouth Rd DUMARESQ,0,0,0,30 22 38S,151 36 7E,NSW,,,,Issued,30,22,38,151,36,7,30.377222222222223,151.60194444444443
111,Armidale,2PNN,102.7,National,M,60,OD,4000.0,1131132,1915829,6645,Telstra Tower (Old Co-ords) Little Duval Mtn  Exmouth Rd DUMARESQ,0,0,0,30 22 38S,151 36 7E,NSW,,,,Issued,30,22,38,151,36,7,30.377222222222223,151.60194444444443
112,Armidale,2ABCFM,103.5,National,M,60,OD,10000.0,10005057,1198637,6645,Telstra Tower (Old Co-ords) Little Duval Mtn  Exmouth Rd DUMARESQ,0,0,0,30 22 38S,151 36 7E,NSW,,,,Issued,30,22,38,151,36,7,30.377222222222223,151.60194444444443
113,Armidale,,104.3,HPON,M,75,OD,10000.0,10007760,1170010,6684,Prime Tower Little Duval Mtn  Exmouth Rd DUMARESQ,0,0,0,30 22 34S,151 36 5E,NSW,,,,Issued,30,22,34,151,36,5,30.37611111111111,151.6013888888889
114,Armidale,,106.9,HPON,V,10,OD,10.0,10008033,1155112,250472,Broadcast Site CB Newling Bldg Mossman St ARMIDALE,0,0,0,30 31 24S,151 39 48E,NSW,,,,Issued,30,31,24,151,39,48,30.523333333333333,151.66333333333333
115,Arthurton,5GFM,89.3,Community,V,30,DA,5000.0,10010706,1170718,142576,Broadcast Site Lot 649 Kadina Road KADINA,0,0,0,33 56 54S,137 40 14E,SA,1150769.0,YORKE PENINSULA RA1,,Issued,33,56,54,137,40,14,33.94833333333333,137.67055555555555
116,Ashford,2ABCRR,107.9,National,M,52,OD,50.0,10004276,1153103,6881,Broadcast Australia site Ashford-Bukkulla Rd  2.4km ESE of ASHFORD,0,0,0,29 19 47S,151 7 8E,NSW,,,,Issued,29,19,47,151,7,8,29.329722222222223,151.1188888888889
117,Atherton,,88.7,HPON,M,10,DA,2000.0,10007660,1154760,152887,Coastal Broadcasters Site Bones Knob  off Griffin Rd TOLGA,0,0,0,17 13 23S,145 26 50E,QLD,,,,Issued,17,13,23,145,26,50,17.223055555555554,145.44722222222222
